qid;pageid;title;question;current_time;outdated_info_dates;answer;outdated_answer
14;5028092;Murder on the Orient Express (1974 film);"What is the approval rating of the 1974 film ""Murder on the Orient Express"" on Rotten Tomatoes?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;89%;90%
15;36136629;Robert Douglas, 1st Viscount Belhaven;In what year did Nicola Moray die in childbed?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;1611;1612
16;1194650;John Gough (British Army officer);In what year was John Gough commissioned as a second lieutenant in the Rifle Brigade (The Prince Consort's Own)?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;1892;1891
17;67912190;Kenneth Lofton Jr.;Which team does Kenneth Wayne Lofton Jr. play for in the National Basketball Association (NBA)?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Chicago Bulls;Utah Jazz
18;2403201;Fortunoff;Where did the chain's flagship Fortunoff store open?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;East Garden City, Long Island;Westbury, Long Island
19;60713342;Automotive industry in Argentina;What regions does the Mercedes-Benz Argentina plant export CKD kits to?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;North America;NAFTA markets
20;52376010;Peripatopsis lawrencei;How many pairs of legs does Peripatopsis lawrencei have, and what is the characteristic of the last pair?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;17 pairs of legs, with the last pair reduced in size but featuring two claws on each leg;18 pairs of legs, with the last pair strongly reduced and without claws or spinous pads
21;67612328;Kaukab Stewart;What is Kaukab Stewart's nationality?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Pakistani-born Scottish;British
22;54636340;Athletic Bilbao in European football;How many European games has Ernesto Valverde managed for the club over three spells?;2024-12-01T00:00:00Z;"2024-10-01T00:00:00Z;2024-11-01T00:00:00Z";47;"44;45"
23;66445549;Veton Tusha;Which club does Veton Tusha play for as a centre-forward?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;FC Drita;Dinamo
24;56310052;Routledge v McKay;What model year was the motorcycle wrongly registered as?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;1960;1942
25;27459;Umbutfo Eswatini Defence Force;Who is the commander of the Umbutfo Eswatini Defence Force?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Major General Sipho Tshabalala;Major General Stanley Dlamini
26;20993693;Carlos Lamarca;What was Carlos Lamarca's birthdate?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;October 27, 1937;October 23, 1937
27;30865148;Lugarno, New South Wales;What percentage of residents stated that English was the only language spoken at home?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;71.2%;76.0%
28;58931543;Pablo Ramón;Which club does Pablo Ramón Parra play for?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Real Madrid;Mirandés
29;9223398;A Lion Is in the Streets;Who does Jules invite to dine with him?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Hank and Verity;the couple
30;17060;Krupp;In what year did Friedrich Krupp build a pioneering steel foundry in Essen?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;1811;1810
31;61471214;Riley Dean;Which team does Riley Dean play for?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Oldham RLFC;Mackay Cutters
32;10815871;Sweden national under-21 football team;What is the birth year or later that defines eligibility for the U21 team?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;2004;2002
33;60300633;Ethan Walker;Which football team does Glenn Ethan Walker play for as a winger?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Ayr United;Blackburn Rovers
34;34422;Zirconium;What is the half-life of the longest-lived artificial isotope of zirconium?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;1.61×10^6 years;1.53×10^6 years
35;332702;1945 United Kingdom general election;What was the majority of seats achieved by Labour in the election?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;146 seats;145 seats
36;37697174;Highways in Bulgaria;What is the total length of motorways in service in Bulgaria?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;884 kilometers;879.1 kilometers
37;42098555;Ingrid dela Paz;"What genre is the ABS-CBN television series ""Got to Believe""?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Romantic drama;Romantic comedy
38;32243272;Souleymane Coulibaly;Which club does Souleymane Coulibaly play for as a striker?;2024-12-01T00:00:00Z;"2024-10-01T00:00:00Z;2024-11-01T00:00:00Z";English non-league club Pickering Town;"ES Sétif;Italian club Nuova Florida"
39;55903635;2017–2019 eruptions of Mount Agung;How many flights were canceled due to the eruption, and how many passengers were affected?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;More than 450 flights, about 75,000 passengers;More than 400 flights, about 59,000 passengers
40;10388502;Bear Creek Township, Hancock County, Illinois;What is the population of Bear Creek Township and how many housing units does it contain?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Population: 340, Housing units: 153;Population: 345, Housing units: 165
41;554394;Davidson College;How many subject areas does Davidson offer majors in?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;31;27
42;77801726;The Emptiness Machine;"How many weeks did ""The Emptiness Machine"" stay at number one on the German Singles Chart?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Eight weeks;Three weeks
43;6204551;Ethiopians;What languages, along with Oromo, Somali, Hausa, Hebrew, Arabic, Aramaic, and Akkadian, are part of the Afro-Asiatic language family?;2024-12-01T00:00:00Z;"2024-10-01T00:00:00Z;2024-11-01T00:00:00Z";Egyptian, Berber;"Egyptian, Berber;Coptic, Tuareg"
44;698036;Hunters Hill, New South Wales;What are the most common ancestries in Hunters Hill and their respective percentages?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;English 29.6%, Australian 25.9%, Irish 14.0%, Chinese 9.1%, Scottish 8.8%;English 22.7%, Australian 20.3%, Irish 11.2%, Scottish 6.8%, Chinese 5.3%
45;331582;David Coverdale;"What ranking did David Coverdale receive in the poll for ""the greatest voice in rock"" conducted by UK classic rock radio station Planet Rock?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;6th out of 40;5th out of 40
46;67388053;Rebecca McGowan;What nationality is Rebecca McGowan?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Scottish;British
47;5706866;Estádio António Coimbra da Mota;What is the capacity of the Estadio António Coimbra da Mota stadium?;2024-12-01T00:00:00Z;"2024-06-01T00:00:00Z;2024-07-01T00:00:00Z";500,015;"8,000;8,015"
48;33206959;Basim Qasim;Which team is Basim Qasim Hamdan Al-Suwaid currently the manager of?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Al-Talaba SC;Al-Naft
49;4588090;Grimoald III of Benevento;In what year did Grimoald's father and brother die, allowing Grimoald to return to Italy?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;787;788
50;193034;Credit rating agency;What are the names of the credit rating agencies in Hong Kong?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;CTRISKS, CSPI Ratings, Lianhe Ratings Global;CTRISKS, Dagong Europe Credit Rating is not in Hong Kong, Lianhe Ratings Global
51;62463927;Don Toliver discography;How many studio albums does American rapper and singer Don Toliver have?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;four;three
52;9905883;Far North (Russia);What is the population of Magadan?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;92,782;90,757
53;5650954;Gerry Armstrong (footballer);How many children does Gerry Armstrong have?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;5;2
54;1554068;Bagrat III of Georgia;What title did Gurgen, Bagrat's father, hold?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Titular king of Kartli;Titular king of Iberia
55;21582736;Jefferson Forest High School;Who is the Principal of Jefferson Forest High School?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Ben Martin;Brian Wilson
56;53408115;Bilaspur–Bikaner Express;How many coaches does the Bilaspur–Bikaner Express train consist of?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;22;24
57;10910062;List of birds of Colombia;How many species of plovers have been recorded in Colombia?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;13;12
58;43958553;Oleg Kozhemyakin;Which football team does Oleg Andreyevich Kozhemyakin play for?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Sochi;FC SKA-Khabarovsk
59;5232414;National Council for Voluntary Organisations;Who is the President of NCVO?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Delyth Morgan, Baroness Morgan of Drefelin;Baroness Jill Pitkeathley
60;176078;Trevor Horn;In what administrative area was Trevor Charles Horn born?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;County Durham;City of Sunderland
61;18559035;Nassef Sawiris;What percentage stake does V Sports own in Primeira Liga team Vitória S.C.?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;29%;46%
62;7619934;Texas State Highway 225;What is the name of State Highway 225 over its entire length?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;La Porte Freeway;Pasadena Freeway (except for La Porte)
63;76826673;SC Spelle-Venhaus;In which tier of the German football league system does the first men's football team of SC Spelle-Venhaus compete?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;The fifth tier;The sixth tier
64;14518518;Hamida Javanshir;In what year did Hamida Javanshir outlive her child Midhat?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;1932;1935
65;1775852;College softball;How many of the past championships has the University of Oklahoma won in NCAA softball?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;6;4
66;37702817;Millennium celebrations;What decades were marked by the celebrations as ending and beginning?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;The 200th decade and the 201st decade.;The 1990s decade and the 2000s decade.
67;643964;Dargaville;What is the name of the local beach that is just 13 kilometres from the township of Dargaville?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Ripiro Beach;Baylys Beach
68;15508039;Newfel Ouatah;Who was Newfel Ouatah's last opponent?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Simon Kean;Faisal Ibnel Arrami
69;76981321;Dola Sree Bala Veeranjaneya Swamy;In which district is Thurpu Naidupalem, Tangutur Mandal, where Swamy hails from, located?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Prakasam District;Guntur District
70;73904051;2024 MotoGP World Championship;Where did Jorge Martín take his second sprint victory of the season?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Jerez;Spain
71;76345554;UEFA Women's Euro 2029;How many declarations of interest have been made to host the UEFA Women's Euro 2029 tournament?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Four;Two
72;358683;Maaouya Ould Sid'Ahmed Taya;Who received nearly 63% of the vote as candidate of the Democratic and Social Republican Party (PRDS)?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Al-Taya;Maaouya
73;4505721;Goodna, Queensland;What is the population of Goodna?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;10,391;10,461
74;23646101;Network of Universities from the Capitals of Europe;How many universities are part of the Network of Universities from the Capitals of Europe (UNICA)?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;46;54
75;192819;University of Queensland;How many campuses does the University of Queensland have, aside from which its other research and education facilities are not directly attached?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Four;Three
76;8454002;1965 Israeli legislative election;Which parties united to form the Alignment?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Mapai and Ahdut HaAvoda;Workers' Party and Labor Unity
77;13243367;Simple Twist of Fate;"What years did Bob Dylan perform the song ""Simple Twist of Fate"" over 800 times in concert?";2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;1975 and 2024;1975 and 2021
78;585409;Elizabeth Boleyn, Countess of Wiltshire;In what year did Thomas and Henry 'Hal' Boleyn die of the sweating sickness plague?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;1506;1517
79;49543094;Hampshire County Cricket Club record by opponent;How many List A cricket matches were played by Hampshire County Cricket Club?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;1,040;1,031
80;398715;Electronic City;In which taluk is Electronic City located?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Anekal taluk;Kengeri taluk
81;6532866;Ridgewood High School (Illinois);What conference does Ridgewood compete in, aside from the Illinois High School Association?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Upstate Eight Conference;Metro Suburban Conference
82;78158443;Miss Scuba International;Who is the current titleholder of Miss Scuba International?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Christina Zhang Rui from China;Hayley Louise Adlam from the United Kingdom
83;4870188;VertiBird;In which Fallout games do Vertibirds appear?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Fallout 2, Fallout 3, Fallout 4, Fallout 76;Fallout 2, Fallout 3, Fallout 4
84;5062797;Black billionaires;What is the net worth of American investor Robert Smith?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;$11.8 billion; $6 billion
85;26207768;Visa requirements for Solomon Islands citizens;How many countries and territories do Solomon Islands citizens have visa-free or visa on arrival access to?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;135 countries and territories;129 countries and territories
86;78290513;1986 Greek Football Cup final;How many Greek Cup finals had Panathinaikos reached in their 78 years of existence?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Sixteenth;Fifteenth
87;3025095;The Corner;"How many Emmy awards did the miniseries ""The Corner"" receive at the 52nd Primetime Emmy Awards?";2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;4;3
88;25987039;Nicholas Bain;How much money did Nicholas Bain steal from Ellen Holland's room?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;$30;$10
89;58911216;Temulji Bhicaji Nariman;What was the duration of Temulji Bhicaji Nariman's marriage to Lady Nariman of Bombay that was officially noted as the longest marriage ever recorded?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;86 years;82 years
90;37853582;Henry J. Mello;What district did Henry J. Mello represent in his last term in the California State Senate?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;District 15;District 17
91;3967522;H. B. Halicki;"Who played the role of computer guru/thief Alaska Wells in ""Gone in 60 Seconds 2""?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Shakarian;Denice
92;19810315;Mackenzie Smith;"Who appeared alongside Jason Bateman in the motion picture ""The Family Fang""?";2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Nicole Kidman;Kathryn Hahn
93;60009151;Laurel Currie Oates;"What edition is ""The Legal Writing Handbook"" in?";2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;eighth edition;sixth edition
94;77247079;2025 Rose Bowl;Which FBS football season will the Rose Bowl be concluding?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;2024 FBS football season;2023 FBS football season
95;55406552;Redouane Kerrouche;Which team does Redouane Kerrouche play for as a midfielder?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Pays du Valois;Lusitanos Saint-Maur
96;16078334;Legal Services Act 2007;Which organizations does the Legal Services Board work with on competition issues, along with the Lord Chancellor?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;The Competition and Markets Authority;The Office of Fair Trading, the Competition Commission
97;51703621;UNTV;Where did UNTV transfer its studios and production facilities while waiting for the completion of the UNTV Broadcast Center?;2024-12-01T00:00:00Z;"2024-10-01T00:00:00Z;2024-11-01T00:00:00Z";La Verdad Christian College Building in Caloocan;"La Verdad Christian College campus building in 351 Barangay Bagong Barrio West along EDSA in Caloocan;Atlanta Centre in Greenhills along Annapolis Street in San Juan"
98;10112624;Terri Conn;"What character did Terri Conn portray on CBS' ""As the World Turns""?";2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Katie Peretti;Katie Snyder
99;71385452;Mao Shimada;How many times has Mao Shimada been the Japanese junior national champion?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Four;Three
100;29719321;Mount Kennett;What was Peter Kennett's role with the British Antarctic Survey Larsen Ice Shelf party?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Geophysicist;General Assistant
101;7837441;Josephine Davison;"What character did Josephine Davison play in a ""Power Rangers"" series?";2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Morgana;Solon
102;53140086;List of The Berenstain Bears (1985 TV series) episodes;"What countries are associated with the production of ""The Berenstain Bears"" television series?";2024-09-01T00:00:00Z;"2024-07-01T00:00:00Z;2024-08-01T00:00:00Z";The United States and Australia.;"Australia and the United States;The United States"
103;61432784;Michael Vrbenský;What is Michael Vrbenský's career high ATP singles ranking?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;277;282
104;73733792;Charcoal trafficking in Somalia;In what year did the United Nations Security Council pass resolution 2036, which imposed an embargo on the export of charcoal from Somalia?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;2012;2022
105;53452111;Kevin Kelly (pitcher, born 1990);Which team does Kevin Kelly play for in the Mexican League?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Dorados de Chihuahua;Sultanes de Monterrey
106;186682;Eurasian griffon vulture;Where are reintroduction projects for Eurasian griffon vultures being carried out in Israel?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Carmel Hai-Bar Nature Reserve and Yotvata Hai-Bar Nature Reserve.;The Carmel and Negev.
107;9124358;"Barossa Light &amp; Gawler Football Association";Who secured the premiership cup in the BLGFA?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;The Willaston Donnybrooks;Nuriootpa
108;53448372;Shogi notation;How many fields does an SFEN string contain, separated by a space?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;4;3
109;3306049;British electric multiple units;What years were the first Bombardier Electrostar units, the AC Class 357, built for c2c?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;1999–2002;1999–2001
110;18923422;Docusate;How many prescriptions of the combination with senna were there in the United States?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;More than 1 million;More than 800,000
111;29347933;Julio Lobo;How many sugar mills did Julio Lobo's assets include?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;16;14
112;50564716;Nikolai Prudnikov;Which club does Nikolai Aleksandrovich Prudnikov play for?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Volgar Astrakhan;Urartu
113;39062044;2013 Bushehr earthquake;What was the magnitude of the strongest aftershock of the 2013 Bushehr earthquake?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;5.4;5.6
114;1858460;Jianyang, Nanping;What is the population of Jianyang?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;340,843;2,910,000
115;2326240;Trazodone;What was the ranking of Trazodone among the most commonly prescribed medications in the United States?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;18th;22nd
116;58400531;Margaret Pleasant Douroux;Where did Margaret Pleasant Douroux earn her BA in music?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;California State University, Los Angeles;California State University, Long Beach
117;41601600;Lake Dallas High School;What is the UIL classification of Lake Dallas High School?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;4A;5A
118;49543094;Hampshire County Cricket Club record by opponent;How many Twenty20 cricket matches are summarized in this article about Hampshire County Cricket Club?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;275;263
119;58018021;Expats (miniseries);"What is the weighted average score of the series ""Expats"" on Metacritic, based on the number of critics?";2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;72 out of 100, based on 21 critics;73 out of 100, based on 20 critics
120;54164177;Maverick Rowan;What team does Maverick Rowan play for?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Pistoia Basket 2000;Sioux Falls Skyforce
121;4587558;Toyota Vios;"In how many countries is the Vios initially offered with the 1.5-litre ""2NR-FE"" engine?";2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;5;6
122;1698973;The International Cat Association;How many catteries meet the TICA requirements?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;33;32
123;16630949;Mount Craig (North Carolina);What is the highest point in the Great Smoky Mountains that has a difference in elevation with Mount Craig?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Kuwohi;Clingmans Dome
124;57644900;Tim Cate;What organization is Timothy Alexander Cate affiliated with?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;No organization (free agent);Washington Nationals organization
125;4887;British Army;Where has the British Army maintained a presence in support of the NATO Enhanced Forward Presence strategy?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;The Baltic States;Eastern Europe
126;172121;Phonograph record;Until what year did the 78 rpm era last in industrialized nations?;2024-11-01T00:00:00Z;"2024-09-01T00:00:00Z;2024-10-01T00:00:00Z";1948;"1948;1958"
127;28648175;Martin Klabník;Which team did Martin Klabník last play for as a defender?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;SCU Günther St. Georgen am Ybbsfelde;Púchov
128;111286;Colona, Illinois;What is the median income for a household in the city?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;$64,643;$41,476
129;111261;Nauvoo, Illinois;What percentage of the population of Nauvoo is Hispanic or Latino of any race?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;2.84%;1.60%
130;46264700;Tim Parker (soccer);Which Major League Soccer club does Timothy Ryan Parker play for as a center-back?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;New England Revolution;St. Louis City SC
131;18731663;Åbo IFK;In which tier is the ÅIFK football team currently playing?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Kolmonen;Kakkonen
132;371370;Take That;Where did Take That give what was thought to be their final performance?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Almere-Haven;Amsterdam
133;5886307;Ovidio G. Assonitis;What film did Ovidio G. Assonitis direct as his final directing credit to date?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Over the Line;Out of Control
134;153399;Donkey Kong Country;How many lives does the player start with in Donkey Kong Country?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;six;five
135;2570338;Shilavo;In which country is the town of Shilabo located?;2024-12-01T00:00:00Z;"2024-10-01T00:00:00Z;2024-11-01T00:00:00Z";Ethiopia;"Ethiopia;Somalia"
136;23243705;Jelena Janković;What title did Janković capture on grass in Birmingham?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Birmingham Classic title;DFS Classic title
137;1903189;Quiet Life;In which countries was Quiet Life first released by Hansa?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Canada, Japan, and The Netherlands;Canada
138;44573358;Carlstad Crusaders;How many national finals has the Carlstad Crusaders team been to?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Nineteen;Eighteen
139;6427320;North Chicago Community High School;How many guidance counselors are available to students at North Chicago Community High School?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Four;Three
140;51909363;Cassius Clay vs. Lamar Clark;How many of LaMar Clark's previous opponents did he knock out?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;42;45
141;28995545;Massmart;Where are Massmart's head offices located?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Massmart House in Sunninghill, Johannesburg;Massmart House in Sandton, Johannesburg
142;1885938;Tuality Hospital/Southeast 8th Avenue station;What hospital is located one block from the station?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Hillsboro Medical Center;Tuality Hospital
143;34906024;Miloš Ostojić (footballer, born 1991);Which team does Miloš Ostojić play for as a centre-back?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Sloven Ruma;Zvijezda 09
144;66991863;List of Eminem records and achievements;How many top 10 hits does Eminem have on the Billboard Hot Rap Songs?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;32;31
145;74853612;Marcus Haynes;What team is Marcus Haynes a part of?;2024-11-01T00:00:00Z;"2024-09-01T00:00:00Z;2024-10-01T00:00:00Z";Cleveland Browns;"Pittsburgh Steelers;No team (free agent)"
146;929813;Dan the Automator;What is Dan the Automator's birthdate?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;August 29, 1966;December 20, 1966
147;361745;Presidency of Bill Clinton;What was the tax rate on capital gains agreed upon by Clinton and Republicans in their deal?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;20 percent;18 percent
148;17914400;Public transport in Ireland;What stations does the Belfast-Derry line serve in Belfast?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Belfast Grand Central and Belfast Lanyon Place;Belfast Central and Belfast Great Victoria Street
149;14860284;Zungeru;Who was playing a Dunguru when British colonialists arrived in the area of what is now Zungeru?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;A Nupe man;A Gwari man
150;2434650;Ahmad Reza Abedzadeh;How many appearances did Ahmad Reza Abedzadeh make for Iran?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;73;78
151;67310220;Simone Tronchin;Which club does Simone Tronchin play for as a midfielder?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Cittadella;Vicenza
152;17175363;King's Cup (Saudi Arabia);What league did the top 6 finishers come from to play in the King's Cup of Champions?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Saudi Pro League;Professional League
153;55735826;David Mawutor;Which team does David Gordon Mawutor play for as a midfielder?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Ravshan Kulob;Turan
154;30859200;Militia (Great Britain);In what year did the Parliament of Ireland pass an act raising regiments of militia in each county and county corporate?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;1716;1715
